Rank,miRNA,Coefficient,Abs_Coefficient,Direction
1,147506 : hsa-miR-21-5p,0.5900349105290247,0.5900349105290247,Cancer
2,30787 : hsa-miR-125b-5p,-0.5192879064751655,0.5192879064751655,Normal
3,148387 : hsa-miR-3942-5p,-0.3377434401151316,0.3377434401151316,Normal
4,147904 : hsa-miR-3148,-0.2585916993299342,0.2585916993299342,Normal
5,147997 : hsa-miR-3934,-0.24974673255012514,0.24974673255012514,Normal
6,46361 : hsa-miR-1278,0.24870137564508618,0.24870137564508618,Cancer
7,145677 : hsa-miR-139-5p,-0.19651325659395222,0.19651325659395222,Normal
8,145824 : hsa-miR-509-3-5p,-0.1786584548456573,0.1786584548456573,Normal
9,169314 : hsa-miR-4668-3p,0.1740900757051541,0.1740900757051541,Cancer
10,148228 : hsa-miR-3656,-0.09506449712022998,0.09506449712022998,Normal
11,42681 : hsa-miR-1307-3p,-0.0688032389708442,0.0688032389708442,Normal
12,168626 : hsa-miR-4662a-5p,-0.05884682767452968,0.05884682767452968,Normal
13,147709 : hsa-miR-3185,-0.05337235355743658,0.05337235355743658,Normal
14,168791 : hsa-miR-4785,-0.03653268941651452,0.03653268941651452,Normal
15,30033 : hsa-miR-877-5p,-0.03314060766498906,0.03314060766498906,Normal
16,168621 : hsa-miR-4796-5p,-0.031342125282965136,0.031342125282965136,Normal
17,168602 : hsa-miR-4666a-3p,-0.021421924817403706,0.021421924817403706,Normal
