Rank,miRNA,MI_Score
1,11102 : hsa-miR-410,0.1825919081292613
2,147709 : hsa-miR-3185,0.17827196379674692
3,168791 : hsa-miR-4785,0.177509835094936
4,42734 : hsa-miR-2110,0.17666944840748
5,168883 : hsa-miR-3689d,0.17663721426545642
6,42970 : hsa-miR-744-3p,0.1749957224987262
7,46361 : hsa-miR-1278,0.15443821824494108
8,169159 : hsa-miR-4521,0.15354236382732256
9,147897 : hsa-miR-3136-5p,0.152945659370894
10,169391 : hsa-miR-513a-3p,0.1529275358158586
11,168868 : hsa-miR-5681b,0.14806061631101874
12,46295 : hsa-miR-1286,0.14423580396674618
13,46565 : hsa-miR-1207-5p,0.14060230097490423
14,13147 : hsa-miR-96-5p,0.13998034021868833
15,46647 : hsa-miR-1324,0.13916496540938805
16,148493 : hsa-miR-3613-3p,0.1386281700255072
17,11074 : hsa-miR-34c-5p,0.13729477396622913
18,42681 : hsa-miR-1307-3p,0.13656735386679997
19,169211 : hsa-miR-5704,0.135337461183882
20,32731 : hsa-miR-190b,0.1344960620551765
21,169314 : hsa-miR-4668-3p,0.1341754719698185
22,168626 : hsa-miR-4662a-5p,0.13346730451966726
23,168631 : hsa-miR-4723-5p,0.13234977195803865
24,42837 : hsa-miR-577,0.13141962701396115
25,148228 : hsa-miR-3656,0.13102988257423975
26,42591 : hsa-miR-634,0.13061079585037216
27,147203 : hsa-miR-302a-3p,0.12937652563974522
28,147870 : hsa-miR-548s,0.12922796456722452
29,17882 : hsa-miR-20b-3p,0.12899891247376893
30,46869 : hsa-miR-1258,0.12833929907986663
31,46398 : hsa-miR-513c-5p,0.12771007086648845
32,46689 : hsa-miR-1229,0.12770803655994278
33,46320 : hsa-miR-31-3p,0.12580888669958679
34,168900 : hsa-miR-4721,0.12507453670628932
35,168649 : hsa-miR-3129-3p,0.12479996324363407
36,168899 : hsa-miR-1285-5p,0.12440551856442417
37,13140 : hsa-miR-138-5p,0.12440513645253137
38,148306 : hsa-miR-381,0.12359380768181727
39,168764 : hsa-miR-4435,0.12330167360998145
40,4700 : hsa-miR-140-5p,0.12326044079743292
41,42934 : hsa-miR-345-5p,0.12234233070512257
42,148386 : hsa-miR-2964a-5p,0.12232671728971511
43,169303 : hsa-miR-378g,0.12231271670787636
44,168875 : hsa-miR-5091,0.12230642418585469
45,46642 : hsa-miR-1276,0.12196596856232267
46,168674 : hsa-miR-4716-5p,0.12177159931115478
47,17660 : hsa-miR-550a-3p,0.1217295337392803
48,42834 : hsa-miR-219-2-3p,0.12036994244608601
49,14270 : hsa-miR-493-3p,0.1195985129402446
50,168815 : hsa-miR-4488,0.11947720834348896
51,11073 : hsa-miR-34b-5p,0.11918259164871192
52,42754 : hsa-miR-586,0.11914680825876411
53,17563 : hsa-miR-644a,0.11855931459033942
54,11004 : hsa-miR-203,0.11759444788770357
55,46321 : hsa-miR-1245a,0.1174869776703038
56,45936 : hsa-miR-1292,0.11711591730672688
57,46462 : hsa-miR-1224-5p,0.11609677497616011
58,147947 : hsa-miR-4308,0.11569143908482049
59,42673 : hsa-miR-337-3p,0.11568296660260025
60,146168 : hsa-miR-1912,0.11556978143067487
61,168870 : hsa-miR-1246,0.11543449657061822
62,42663 : hsa-miR-20a-3p,0.11462409571089616
63,147604 : hsa-miR-4285,0.11453168778657141
64,147780 : hsa-miR-4267,0.11443805436173915
65,169206 : hsa-miR-4645-3p,0.1140023676984494
66,169380 : hsa-miR-3124-3p,0.11390959506580134
67,42852 : hsa-miR-760,0.11356645550106848
68,11181 : hsa-miR-95,0.11327481940116191
69,168812 : hsa-miR-875-3p,0.11307177936895196
70,27546 : hsa-miR-380-3p,0.11260178912264363
71,42944 : hsa-miR-564,0.1122226676878082
72,148410 : hsa-miR-3676-3p,0.11120059473887056
73,146110 : hsa-miR-3164,0.11100611503311253
74,30787 : hsa-miR-125b-5p,0.11059030072029685
75,19588 : hsa-miR-17-3p,0.10966742748107627
76,169147 : hsa-miR-548am-5p,0.10903385792977272
77,11138 : hsa-miR-506-3p,0.10862873430084052
78,169068 : hsa-miR-513c-3p,0.107894395925338
79,169289 : hsa-miR-4692,0.10740501682761772
80,17953 : hsa-miR-183-3p,0.10696537434738995
81,46924 : hsa-miR-1252,0.1067163415687471
82,168804 : hsa-miR-4761-3p,0.10645195812590957
83,13179 : hsa-miR-455-5p,0.10629920303838203
84,42609 : hsa-miR-135a-3p,0.10594481517351029
85,17875 : hsa-miR-500a-5p,0.10568171791271808
86,46732 : hsa-miR-1264,0.10559066542737239
87,168696 : hsa-miR-4739,0.10511297283793497
88,148032 : hsa-miR-3685,0.10502284778086834
89,42902 : hsa-miR-185-5p,0.10492665712454441
90,147654 : hsa-miR-3138,0.10472348344347493
91,169381 : hsa-miR-4421,0.10465785087519475
92,46875 : hsa-miR-2276,0.10458615341209421
93,168798 : hsa-miR-4668-5p,0.10442154265605708
94,42532 : hsa-miR-22-5p,0.1041012834984576
95,46249 : hsa-miR-449b-5p,0.10404038246863956
96,27544 : hsa-miR-363-5p,0.10387489940332206
97,42692 : hsa-miR-127-5p,0.10362189291795798
98,147627 : hsa-miR-4294,0.10358969622935499
99,33596 : hsa-miR-126-5p,0.10318425970835876
100,42971 : hsa-miR-96-3p,0.10306601579567576
101,29883 : hsa-miR-606,0.10302674947094026
102,46752 : hsa-miR-1270,0.10291378194606904
103,147997 : hsa-miR-3934,0.10285480381619894
104,42576 : hsa-miR-342-5p,0.10246578954995766
105,168925 : hsa-miR-1273g-3p,0.10188987109979575
106,147817 : hsa-miR-3196,0.10179417830175863
107,169406 : hsa-miR-376b,0.10146666232837642
108,146009 : hsa-miR-376a-3p,0.10123307779939283
109,169230 : hsa-miR-4747-3p,0.10080059427098376
110,46810 : hsa-miR-1827,0.10051414518610202
111,10976 : hsa-miR-182-3p,0.10034600711844122
112,17848 : hsa-miRPlus-A1087,0.10031727863827689
113,5250 : hsa-miR-105-5p,0.09980926323178307
114,147562 : hsa-miR-4253,0.09979470924023204
115,168606 : hsa-miR-4633-5p,0.099771630225862
116,168922 : hsa-miR-5584-3p,0.09953242725856137
117,147506 : hsa-miR-21-5p,0.09934196545149976
118,169065 : hsa-miR-378h,0.09920421255153444
119,169081 : hsa-miR-4707-3p,0.0991702454323673
120,31076 : hsa-miR-559,0.09899355868003457
121,169102 : hsa-miR-4639-3p,0.09892562037681008
122,42736 : hsa-miR-148b-5p,0.0989229875459412
123,147921 : hsa-miR-3131,0.09883250226878504
124,168666 : hsa-miR-4659a-5p,0.0987459890897302
125,146064 : hsa-miR-718,0.09849172135947004
126,148285 : hsa-miR-3941,0.0984831309353118
127,169414 : hsa-miR-525-5p,0.09847254105859227
128,168650 : hsa-miR-3121-5p,0.0984231815261929
129,17918 : hsa-miR-222-5p,0.09806850191281913
130,145677 : hsa-miR-139-5p,0.09783208405441912
131,46704 : hsa-miR-548i,0.09717360140970221
132,11052 : hsa-miR-31-5p,0.09713776643080019
133,19582 : hsa-miR-106b-5p,0.09688375203270905
134,42556 : hsa-miR-889,0.09687658618111405
135,42599 : hsa-miR-153,0.0966941435514792
136,168658 : hsa-miR-5196-5p,0.09641835296317303
137,46517 : hsa-miR-1266,0.09638261594880793
138,13130 : hsa-miR-517-5p,0.09595573423180626
139,28759 : hsa-miR-758,0.09575899203708294
140,169032 : hsa-miR-4737,0.09558108644432939
141,169029 : hsa-miR-4471,0.09511805046301203
142,17630 : hsa-miR-588,0.09508275955171741
143,148467 : hsa-miR-3939,0.09460158401484664
144,42788 : hsa-miR-924,0.09451605005209629
145,169117 : hsa-miR-4759,0.0944282597815238
146,145670 : hsa-miR-18b-5p,0.09442386828984439
147,168856 : hsa-miR-4494,0.0944068143266017
148,42783 : hsa-miR-197-3p,0.09427044016749941
149,169028 : hsa-miR-4708-3p,0.09420082148898912
150,42739 : hsa-miR-339-5p,0.09419694944967039
151,168819 : hsa-miR-200a-3p,0.09412101992868882
152,168951 : hsa-miR-548as-3p,0.0939498593778545
153,30033 : hsa-miR-877-5p,0.09381743982116686
154,42926 : hsa-miR-92a-1-5p,0.09361921604790746
155,168659 : hsa-miR-4438,0.09334746152087359
156,46427 : hsa-miR-1248,0.0932502071158825
157,147572 : hsa-miR-3120-3p,0.09314764456728519
158,146136 : hsa-miR-518d-5p,0.09280263275786926
159,11040 : hsa-miR-29b-3p,0.09226108834501967
160,169232 : hsa-miR-3156-3p,0.09216821518420781
161,148685 : hsa-miR-202-3p,0.09205360306074817
162,169241 : hsa-miR-5571-3p,0.09183995410389523
163,168834 : hsa-miR-5571-5p,0.09182711276554367
164,148234 : hsa-miR-3667-5p,0.09180879584850565
165,17814 : hsa-miR-570-3p,0.09175143454058654
166,11134 : hsa-miR-502-5p,0.09162598701610203
167,168906 : hsa-miR-4703-3p,0.09158800681291512
168,42810 : hsa-miR-149-5p,0.09157113363290281
169,168668 : hsa-miR-4732-3p,0.09145229121769405
