Rank,miRNA
1,168626 : hsa-miR-4662a-5p
2,42902 : hsa-miR-185-5p
3,168829 : hsa-miR-4794
4,147709 : hsa-miR-3185
5,145677 : hsa-miR-139-5p
6,46361 : hsa-miR-1278
7,168791 : hsa-miR-4785
8,147997 : hsa-miR-3934
9,30787 : hsa-miR-125b-5p
10,42681 : hsa-miR-1307-3p
11,148228 : hsa-miR-3656
12,169314 : hsa-miR-4668-3p
13,168602 : hsa-miR-4666a-3p
14,168875 : hsa-miR-5091
15,168900 : hsa-miR-4721
16,145857 : hsa-miR-154-5p
17,46565 : hsa-miR-1207-5p
18,145824 : hsa-miR-509-3-5p
19,147506 : hsa-miR-21-5p
20,169303 : hsa-miR-378g
21,168815 : hsa-miR-4488
22,28759 : hsa-miR-758
23,147904 : hsa-miR-3148
24,168856 : hsa-miR-4494
25,42970 : hsa-miR-744-3p
26,30033 : hsa-miR-877-5p
27,148231 : hsa-miR-3918
28,168883 : hsa-miR-3689d
29,168802 : hsa-miR-4516
30,42736 : hsa-miR-148b-5p
31,17882 : hsa-miR-20b-3p
32,147793 : hsa-miR-4252
33,169391 : hsa-miR-513a-3p
34,147776 : hsa-miR-4317
35,147669 : hsa-miR-548w
36,42734 : hsa-miR-2110
37,168804 : hsa-miR-4761-3p
38,46647 : hsa-miR-1324
39,42667 : hsa-miR-302b-5p
40,147947 : hsa-miR-4308
41,42708 : hsa-miR-99a-5p
42,11102 : hsa-miR-410
43,148410 : hsa-miR-3676-3p
44,19582 : hsa-miR-106b-5p
45,147770 : hsa-miR-4276
46,27740 : hsa-miR-574-5p
47,168649 : hsa-miR-3129-3p
48,145638 : hsa-miR-29a-5p
49,168812 : hsa-miR-875-3p
50,147835 : hsa-miR-3143
51,168798 : hsa-miR-4668-5p
52,169202 : hsa-miR-1277-5p
53,13130 : hsa-miR-517-5p
54,46875 : hsa-miR-2276
55,29490 : hsa-miR-7-5p
56,146110 : hsa-miR-3164
57,169244 : hsa-miR-5572
58,169122 : hsa-miR-5687
59,168650 : hsa-miR-3121-5p
60,145914 : hsa-miR-135b-5p
61,148387 : hsa-miR-3942-5p
62,147897 : hsa-miR-3136-5p
63,10976 : hsa-miR-182-3p
64,168674 : hsa-miR-4716-5p
65,168779 : hsa-miR-4797-3p
66,42832 : hsa-miR-638
67,168839 : hsa-miR-4774-3p
68,32731 : hsa-miR-190b
69,169178 : hsa-miR-4665-5p
70,148493 : hsa-miR-3613-3p
71,147562 : hsa-miR-4253
72,169365 : hsa-miR-3974
73,11004 : hsa-miR-203
74,42837 : hsa-miR-577
75,169069 : hsa-miR-3977
76,169361 : hsa-miR-4481
77,147921 : hsa-miR-3131
78,169225 : hsa-miR-640
79,13147 : hsa-miR-96-5p
80,42778 : hsa-let-7g-3p
81,168621 : hsa-miR-4796-5p
82,147780 : hsa-miR-4267
83,147572 : hsa-miR-3120-3p
84,168938 : hsa-miR-5692a
85,145962 : hsa-miR-639
86,147870 : hsa-miR-548s
87,146044 : hsa-miR-2115-5p
88,45936 : hsa-miR-1292
89,169154 : hsa-miR-4803
90,42788 : hsa-miR-924
91,169121 : hsa-miR-1295b-3p
92,147817 : hsa-miR-3196
93,31349 : hsa-miR-524-3p
94,168666 : hsa-miR-4659a-5p
95,148363 : hsa-miR-3652
96,147660 : hsa-miR-4296
97,148346 : hsa-miR-3929
98,46732 : hsa-miR-1264
99,17563 : hsa-miR-644a
100,169086 : hsa-miR-4786-5p
